Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
11,0.578719323,5.267978718,-0.965042344,-2.986129066,1.624245737,-0.751820885,-0.239716793,-1.400648356,6.105329011,0.24970669,-2.471943271,-3.790915038,0.776941634,2.216366732,-0.236233678,-2.3532625,-4.042142353,0.800477928,0.802577941,2.894830178,4.412257159,2.472798604,-2.888596247,-5.48392312,-2.723840799,4.067740132,-0.221896238,-1.316371989,1.481492099,2.125876505,-0.462507881,-0.171968922,3.040086973,6.363464859,-1.957596621,0.772654532,-0.676104106,-1.300662099,1.528172026,0.190077452,3.852505951,0.540068756,1.21216285,4.269156149,0.966452643,-3.036388387,0.688002648,3.617988506,4.381149299,2.771559299,2.816583209,19.3527435,-0.767574414,1.395448331,0.441701331,2.60687334,0.210950946,-1.153121868,1.058263038,1.135846121,-0.6319278,-2.084884433,2.819026568,4.685572284,-0.12910538,4.667658276,-0.192669081,1.738313188,3.825468853,-0.197616297,1.6753039,1.561631623,4.304044185,0.526642101,2.002143995,4.428564787,3.911808625,-1.056648921,0.676709698,2.642380682,0.376643684,0.869191184,0.804585286,-0.132432764,2.749620878,-0.692539087,2.643691612,3.078577383,1.215575921,2.339595791,-0.310199942,-1.382013045,-0.315557753,4.257716808,-2.836686142,-1.298707248
12,3.226786721,-0.697734914,2.218150895,1.991487576,-0.184940584,0.833620782,0.976651801,-1.222610723,-0.501500928,1.53434035,3.187980333,5.967340742,3.698445987,2.309052765,0.241060282,-1.001263542,4.111184102,0.332514462,-0.441857455,3.550045657,-1.250142507,3.138308366,2.727106641,3.332961334,2.727357708,-1.383117417,0.231136263,-0.642008653,4.741431293,0.875812913,-5.467215893,-1.092181018,1.078925972,4.171688158,-1.955375586,-1.203968644,4.204195781,1.912150104,1.280984659,-0.59980784,-3.512861741,-0.876705175,1.597818699,0.624933937,-0.546820588,-0.128874137,-2.208678838,3.399749678,-1.408492352,-1.739593074,1.481445585,-1.238694348,2.635707372,0.293827674,0.641011379,0.996326721,-0.257537273,1.935191833,2.033854761,0.644319235,1.174448002,1.412960461,0.436941543,3.447788406,-0.106477625,2.11947614,3.808747589,0.352374785,2.805895287,3.692204809,-1.331952167,-1.827802942,0.749645965,1.671044854,1.802635506,1.479162174,1.709280783,-1.259862967,2.392121477,-0.879274936,0.957859457,1.50712156,-3.371919222,1.404350324,-0.323456409,-0.014459297,0.357274473,-1.580802821,2.352035572,1.466464223,-1.4451492,1.991680981,1.690719203,-2.863236341,0.468107823,1.74468668
13,-0.291081073,0.867640366,1.13088191,0.129737504,2.610976296,4.142481596,3.516679628,-0.548074258,-4.458014331,2.851314471,1.597475376,3.722858855,2.863950087,0.473448374,-2.902998992,-0.653481242,-0.993397802,-0.548664192,3.374729721,-0.329074818,-0.640112162,1.347969502,-1.894744938,3.812752066,1.34020191,3.806835867,1.094053147,2.936135112,0.659987965,5.02408523,1.933453281,-2.130638686,1.574752045,2.887412731,0.381083332,0.483571408,1.154459409,-2.128423216,2.295306439,2.621519692,2.084590292,0.300050914,0.694740018,-0.98458998,1.164557438,4.249019011,-1.921716479,0.160121716,1.012707169,4.002791447,1.276222146,21.42782094,0.880116835,1.689696744,2.841737749,-0.988718231,2.315899625,5.014695106,-0.406861236,-3.030345368,0.832947476,-0.161684635,3.051731381,0.117945022,-1.306420989,-0.08879521,1.173829922,-0.224087284,-1.609719467,4.603680253,3.525654302,-1.651673531,3.559752669,3.461284773,0.187229759,2.913331208,3.13567953,0.332133592,2.957880141,-0.457897768,2.551389706,0.708030393,1.633320633,1.362199199,-0.432165406,1.317824039,0.797270545,0.633934724,2.94921162,0.389667063,0.694628969,-0.275190016,1.43531625,-0.124912848,-3.284959342,0.974623549
14,0.945909639,2.341898428,1.869576109,0.002506812,2.047667801,4.433209171,2.141235877,3.816537323,2.36096906,3.477936448,1.924056767,-2.504655097,0.619575486,0.451768691,0.539973099,-4.214044985,2.885084166,-0.124239496,0.809508477,5.002196871,0.386123872,-1.196965882,2.680840328,5.512574016,4.232042134,1.434128757,2.205546186,0.918948872,-1.191960717,2.107085104,1.05153881,2.68652312,3.098241256,3.671081655,3.351639065,1.018474039,5.087513424,2.278204905,2.45272469,0.380781327,0.523673293,3.045759557,0.576761894,2.435319678,2.41734981,-1.943597208,4.994259622,2.842168733,6.009804991,2.938955669,6.920736405,-0.760595629,-1.254903061,2.200253104,0.919761361,2.542240574,-0.319548422,4.898725358,5.911067373,3.263096352,3.004972748,1.548075884,3.066899177,-2.189444747,-1.604740701,-0.599701057,3.842798602,2.353323773,1.855473545,4.082995905,3.278240244,2.392432493,5.159581316,2.638631266,-1.125913887,-0.584063997,5.315930642,2.491415144,3.275356956,5.601251436,1.06321697,5.936904835,-1.145575641,1.728688113,2.405420841,2.747089337,1.1556897,1.797803863,-1.850326209,-0.554716861,2.230722035,-1.332419375,-2.371432712,-1.902228703,4.065723841,-4.536408403
15,1.055248095,1.140412508,-1.389369704,1.26755978,3.824490134,1.197299685,0.735768138,0.435473996,2.243824978,4.87875037,4.430555883,1.656978443,0.906178808,3.439571416,3.13832346,0.568009017,0.034974527,1.633291852,-1.209913486,0.815055706,1.478931116,2.065686037,0.583779467,0.491156047,3.927497843,5.793402876,0.256926844,-2.724992646,-1.805679613,5.833023888,0.78531695,3.306319299,-0.28001285,-1.321288491,0.124411416,0.302453346,0.49876254,3.012912511,1.077586577,-5.782619366,2.750310455,2.510880386,1.891995345,3.52929739,2.456312352,2.45090072,-2.443957818,4.190661603,3.397107291,1.805221035,6.120109967,8.45329067,-0.028574881,1.758014633,1.004538107,-0.603481235,5.994422505,-0.904031539,0.074949999,1.041035329,0.367984281,1.091272268,2.576155973,3.161993015,0.595408314,2.570250537,2.663011792,1.691255937,1.784790201,6.073135542,0.714656131,1.892107391,1.107280252,-3.282886699,2.400798154,-1.127624471,-0.029816559,-0.805348689,0.147209249,2.111132564,0.016129825,-4.427555875,-0.675538863,-1.997721817,-3.436393193,-0.630906483,-1.645349676,-2.089164512,-0.68175121,-0.680502654,-0.583725368,0.996768295,0.366480394,-2.50349463,-0.815662663,0.054809392
16,-4.458344937,3.361983243,2.224149753,-2.464257345,3.00589409,-0.320065701,-1.821010768,2.523507629,4.470449747,2.736153152,1.340450647,0.495835462,6.112658871,-0.614665512,1.693376098,1.919618513,1.272107804,1.574214666,-1.647386108,1.093228305,-0.009504543,5.780475432,3.45638741,-2.191330937,0.805925699,5.241401234,0.853482742,2.841635473,2.403038255,0.000767893,1.079434259,3.105378347,4.042364116,2.476520773,-1.911580835,0.466503083,2.574639,4.383875181,4.340230993,0.361445184,4.9858914,4.411165933,1.612104687,-1.462075564,3.338050916,0.654162515,3.84454629,1.386275076,0.813939476,-0.740946246,2.031523025,-18.56719799,3.110206774,2.210151525,5.701901296,2.042903894,2.011546426,-1.079789426,-1.201645546,-2.166583593,4.110117854,5.161661416,0.126248981,-1.226949265,1.802898189,2.753473149,0.351026267,1.122007959,0.545187515,2.217216797,1.423771273,1.714958612,1.228239024,1.325201237,4.861407036,1.030028337,1.863816561,-1.496255434,5.066892005,0.547998018,1.214154549,-2.020460036,0.973300604,1.536693887,0.312653354,-0.509172211,0.95880741,0.275147638,0.084910396,2.463966201,3.968132634,-0.655006555,2.656592317,-1.563429704,-0.842067869,-0.848046547
17,-1.986205548,0.024566148,-2.962301885,3.275091505,-1.578252326,-1.707106596,-0.411144619,2.80306775,4.88547032,0.603316486,-3.896293296,-4.395881678,4.793402635,2.115090769,0.428508754,1.429353631,3.282446932,2.604558924,4.537132038,0.206359161,-0.808220454,3.197902658,2.413799864,-1.720773649,3.064848193,3.668969051,0.473531661,0.346587961,4.206096013,1.584019236,-0.119370704,4.649322879,0.500911436,-4.359502627,-3.357654202,4.067815852,3.207134225,-0.012711438,3.161610248,-1.985018622,-1.418155211,1.048544035,-0.102911311,1.99564607,0.468268602,-0.996886876,2.953210244,-1.184116692,3.802406006,3.092756963,0.774277361,-3.111723022,-0.691821899,1.369651593,2.753375065,-3.274451552,0.797550791,2.239345219,2.068896356,-2.379221753,1.523295762,2.971672594,-0.459518769,1.50836578,1.918198412,2.737847664,1.624098324,3.0624185,0.576840368,0.02989003,1.392786502,-0.641711084,0.638863774,-0.190689971,1.749736399,0.232657794,-3.860029217,3.638789697,-4.04772881,-0.815723171,0.437818215,1.017841149,-2.703872647,-1.886908527,-0.888883983,-0.565851123,0.026915317,-2.615411351,0.913209694,-1.520375224,-1.896106645,-1.164045285,0.165887871,2.532481079,1.386613417,4.963537319
18,0.512634368,3.733113713,2.331524576,1.850519438,2.980662897,-0.906242071,-0.474108986,2.562106465,3.639732645,2.719125811,1.043740292,4.870606961,-1.642828414,-3.15230193,1.389119044,0.914233357,5.001275274,2.180234696,2.878132586,6.012722371,2.007414673,-0.606364308,-1.019183877,6.481050163,5.613196913,3.456315543,3.18831042,1.675798309,6.734384855,0.830833453,5.748030915,-0.203389812,0.76891672,3.4433827,2.489539355,4.485011831,3.301932328,-0.865442431,0.512896023,2.201758745,1.611299542,4.385505391,2.37075394,0.443012994,1.193286507,0.794508399,3.965383844,2.9012343,1.571874118,2.121710232,4.542233544,6.968057459,3.960580865,2.577320398,-0.921551739,0.904449048,0.272146955,0.699260409,2.094655866,-0.281617612,-0.45765676,1.342311898,5.453813823,0.622977756,-0.800058935,4.541125781,0.850862245,4.846487673,-0.240272524,-0.494965152,2.197513207,-0.217792618,1.222042468,-2.377946682,0.276507395,2.160505344,0.925560618,0.592095089,-0.63038905,-0.315302238,1.675435561,0.087000176,0.548613251,-3.300261885,1.778222756,-1.699653375,1.932789398,0.215716087,-1.095377368,0.983135089,2.137830819,2.502405391,3.11666713,7.207315427,4.88366723,3.802902714
19,-0.714260973,2.327354876,1.358969468,7.030427049,4.32728551,4.174236887,0.458047188,4.317227923,-2.316726344,0.450399182,3.417744001,-1.095426629,1.181888014,8.026653817,4.209714792,-1.149713313,1.232830692,4.292842957,3.186381579,-1.157405722,-3.608570666,2.062668947,5.627958825,-1.886748918,4.525826398,-0.778100045,4.501539268,2.24754758,0.645936119,4.658697032,6.943814957,1.095729589,-1.165898278,5.266885842,5.415137211,2.033291288,1.825109484,0.091447088,3.237961687,2.090309057,-0.794396903,-1.695717491,3.365460057,2.051462071,2.716291559,3.065689107,0.884098728,6.067788225,3.175720432,3.833736811,3.250913406,-8.446110312,4.272693968,-0.561790205,4.853465588,-0.651163429,1.624948105,2.399704609,2.385272452,2.599584524,3.955587944,-2.265131453,3.607304091,-0.889338239,2.71917093,3.322007792,-1.540460553,1.994456321,2.298690824,-1.194526889,-1.411287554,2.821324442,1.068922249,-2.200295687,-0.356964009,-1.356973388,0.498340595,-0.339411482,-1.001896312,-1.492507668,0.09095587,2.875009363,-1.048190659,1.278122756,1.901315171,-1.593056791,2.664254599,4.107101174,2.083170541,2.151282566,7.272643662,9.247715082,5.593931839,9.301079968,15.9060769,23.09228131
20,0.950359341,-0.207962953,2.246023382,3.821083628,1.217058946,2.092792809,2.779066077,-1.942824816,-3.051234767,7.580754111,4.690066053,5.619777715,1.491063815,2.120377026,5.085169508,7.399326007,1.245521551,-0.100374685,0.260794696,1.769006625,1.064627979,1.365165832,3.553392192,3.382477281,2.546275352,0.939777048,2.066411849,1.224212468,3.257766459,1.988038063,6.012923416,1.617320447,4.630910292,7.055496475,2.780429591,2.064887307,3.006631092,2.409776913,1.78882886,-0.412618638,-0.829235549,6.005041474,-2.657408047,-2.507462876,4.606454247,1.522360205,0.372781399,0.977560772,2.143741886,-0.795224411,-1.801186914,-4.009240107,3.054968736,-4.368194219,0.602644128,-0.529841598,0.319561938,0.439977484,0.476984864,3.587820051,1.406932671,4.030435613,2.744905484,2.212326244,1.533646746,0.042410109,0.51433037,-2.967427179,-1.320773361,0.70984332,5.031264958,-1.347589628,-0.630131446,-3.315234103,3.544137898,-3.51532907,2.344030485,-1.893683061,0.085733729,-0.517542144,3.425219479,-0.780785497,-1.424568879,1.09849786,6.676954559,2.16781794,2.84322243,6.986980643,6.590609218,8.980136316,15.82691367,17.50434599,19.39297056,38.11353375,31.35300539,41.31059663
