Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
1,-7.32,-5.34,-8.05,-6.81,-15.75,-11.04,-5.97,-14.73,-3.52,-15.9,-7.69,-13.76,-8.95,-4.62,-4.39,-2.64,-1.72,-4.47,-11.01,-0.5,-3.22,-8.51,-1.59,-7.89,-5.83,-3.24,-3.69,-3.51,-0.77,-4.71,-0.48,-4.25,-2.87,-3.94,-0.36,-2.02,-9.7,-4.94,-4.19,-2,1.31,-14.55,-0.43,-6.74,-7.37,-9.21,-6.89,-6.37,-8.82,-6.78,-11.27,0.3,-8.07,-4.94,-6.81,-3.83,-3.57,-4.89,-8.74,-11.02,-13.19,-6.54,-6.47,-11.09,-7.32,-12.13,-0.62,-0.94,-7.15,-4.96,-6.85,-20.1,-6.09,-5.98,-6.72,-6,-7.87,-0.78,-1.75,-4.87,-7.41,-3.89,-0.18,-6.18,-7.98,-11.79,-9.13,-13.94,-7.84,-15.28,-16.86,-15.14,-13.91,-12.33,-7.87,-13.42
2,-4.89,-1.35,-7.72,-3.9,-6.53,-8.48,-8.87,-6.5,-0.87,-9.85,-4.31,-5.6,-7.03,0.57,-3.1,-1.55,3.83,-1.93,-4.01,0.17,-5,-1.35,-1.72,4.4,-2.19,-3.87,-2.18,2.46,0.03,-3.37,2.84,-5.55,-4.01,-1.35,-0.63,-0.01,-6.04,-4.15,-3.34,0.33,-2.81,-4.09,-0.73,2.06,-7.73,-3.88,-1.32,-1.06,-6.4,-2.18,-4.14,5.66,-4.17,0.74,1.22,-1.77,1.31,0.24,-4.79,-1.55,-4.11,2.79,-2.01,-4.01,-5.12,-3.32,-5.07,1.75,4.59,-2.57,-0.93,-1.63,-1.32,2.27,-5.98,-1.94,-1.54,1.85,-0.18,0.65,-1.35,-4.08,-0.31,-2.78,-3.9,0.12,2.53,-5.3,-1.38,-9.29,-8.99,-9.85,-6.69,-3.52,5.76,1.97
3,-2.63,-0.93,-2.52,0.65,-3.93,-3.9,1.58,-2.83,-0.46,-3.83,-6.61,-2.05,-0.39,-2.02,-2.5,3.24,1.05,1.01,4.14,2.18,-0.86,4.29,6.49,2.68,-0.1,2,-0.96,-3.73,1.54,-0.41,1.06,0.78,1.17,-0.03,-0.23,1.69,0.92,-1.84,-1.07,-0.86,1.57,1.4,1.93,0.28,-0.54,-2.25,-0.54,2.65,-0.7,0.45,-2.32,-6.79,1.71,0.15,0,2.38,0.02,0.68,-1.77,-3.92,-0.17,-2.7,-0.01,0.16,4.74,-1.4,-2.13,-0.03,0.14,-2.19,-0.62,-4.99,4.31,0.62,3.82,1.36,0.25,-2.04,-1.34,-1.46,1.44,-0.39,1.26,3.64,-1.96,1.88,-0.56,-4.39,0.84,-1.84,-5.93,-6.49,-4.84,-3.56,-5.51,1.71
4,2.49,-0.07,0.8,-1.75,-0.18,-3.95,-6.18,-3.13,-3.25,-1.21,0.31,-1.95,0.29,0.28,1.58,-1.74,-1.73,1.15,-0.75,4.25,2.77,-1.83,3.02,2.38,-0.48,3.4,5.61,5.97,-0.75,3.73,-1.97,2.2,-2.41,0.9,3.6,0.56,-0.08,-1.55,3.99,5.4,1.72,-0.54,6.21,1.84,1.06,2.61,1.71,-2.55,-0.51,-0.71,1.08,0.03,0.58,0.1,-2.03,0.59,3.42,-0.47,-0.63,2.47,4.26,2.54,-1.39,-3.81,-0.89,2.89,5.53,4.5,3.15,0.27,-0.88,2.38,-3.87,1.1,1.58,-3.8,1.38,1.29,0.3,-0.21,-0.94,-2.93,3.24,-1.81,2.49,2.55,2.46,0.63,-0.96,3.85,0.71,-0.55,1.67,-1.38,2.23,2.59
5,1.11,3.52,0.61,-0.93,-2.57,-1.47,0.03,2.92,0.41,3.65,0.45,0.06,3.2,3.44,5.1,-2.84,0.13,-2.31,2.08,-3.33,1.01,-2.05,-2.01,-1.95,-1.66,-3.53,-2.21,-0.98,-1.55,1.67,5.85,2.55,5.16,-1.24,-0.23,-0.62,0.41,3.24,2.41,-1.02,-4.06,-4.32,-0.72,2.29,0.41,3.28,2.38,-1.32,0.41,2.02,1.44,6.31,2.61,1.23,4.5,-3.44,-0.07,0.04,5.42,0.29,1.78,2.46,1.82,4.47,-2.28,2.37,1.52,5.24,3,8.77,1.43,3.43,2.26,0.46,-0.79,0.95,-0.28,4.62,3.99,-2.2,-1.39,-0.97,3.11,-0.19,4.07,0.01,3.61,1.82,3.39,-0.27,1.49,-3.3,-4.82,1.66,3.33,-2.03
6,3.53,1.59,0.03,1.6,-0.6,0.92,4.89,4.07,3.57,5.48,6.47,3.04,3.48,1.91,0.17,-0.12,2.18,0.55,0.4,2.39,2.66,3.21,-4.6,2.38,3.14,0.03,-2.77,2.81,4.45,-1.21,3.06,-2.09,-2.14,-1.48,1.37,-1.52,2.62,1.36,2.32,1.22,1.95,2.39,1.37,4.13,1.31,1.72,0.75,4.77,6.03,2.73,0.79,3.15,3.86,5.19,5.74,8.03,6.6,2.72,3.25,3.48,-1.13,3.62,3.99,1.26,4.76,4.92,3.22,0.32,-2.16,-0.21,2.73,-1.19,2.85,2.67,2.23,4.05,2.92,1.49,0.99,4.59,1.8,2.44,3.96,6.5,1.56,2.8,1.9,5.13,1.97,-0.79,-3.98,1.49,3.93,1.02,3.12,0.21
7,6.86,4.99,0.95,3.62,5.45,-0.33,2.34,2.05,4.48,4.14,3.46,-1.93,1.38,1.16,3.99,0.87,-0.07,1.75,-0.04,1.89,-1.07,3.15,-0.69,0.41,1.72,4.92,1.68,-0.96,3.83,1.18,5.57,-2.27,4.73,5.22,2.5,5.74,2.45,4.39,2.48,0.5,-0.04,3.78,-2.64,-6.82,-0.95,-2.3,0.04,-3.43,0.46,-0.67,1.16,-2.83,-3.22,0.21,1.68,1.02,-0.25,3.05,-0.46,-0.59,2.8,4.41,2.4,4.74,3.3,-0.23,-1.03,0.37,0.31,0.64,6.94,1.14,1.15,1.2,2.4,7.09,3.6,0.69,4.25,6.43,0.57,2.41,1.52,-1.07,-3.93,1.32,0.89,-0.56,2,4.92,-2.92,-0.42,-0.72,2.52,0.3,4.65
8,4.9,3.93,1.19,-0.69,0.84,4.77,-0.17,4.18,-3.07,0.34,1.1,1.75,-1.4,4.56,-3.26,5.67,4.69,1.41,1.34,-0.33,2.99,4.51,4.61,4.66,0.96,4.13,3.85,7.1,2.1,2.84,-2.26,0.82,-0.78,4.8,0.57,-0.16,2.58,2.22,-2.01,3.57,6.8,2.89,-0.74,1.77,3.81,2.8,5.28,4.25,-0.01,-1.59,0.25,4.78,-0.1,1.59,-0.85,-0.74,-2.72,1.01,-0.33,7.33,-2.66,-2.33,3.05,0.66,0.97,-1.47,1.25,-2.55,1.46,0.03,1.04,7.82,-0.93,2.3,-5.19,0.42,3.41,3.15,0.16,-1.92,3.35,3.82,-1.8,-1.26,0.11,-1.18,5.12,3.61,-0.41,2.71,7.15,2.94,-2.18,2.15,1.62,4.33
9,0.74,-1.77,3.57,5.5,0.16,-4.57,-1.33,2.05,1.97,2.36,4.62,6.08,-0.95,1.21,-0.52,2.51,-1.53,-1.42,-1.25,-2.12,-1.88,0.96,-2.74,-0.73,6.45,-1.03,-1.57,2.17,-2.15,-2.64,0.7,1.15,-0.74,1.25,-2.74,-2.79,-1.11,2.79,0.47,-1.21,1.17,4.84,0.78,3.19,-0.08,-1.58,-1.14,5.26,1.43,3.01,3.69,5.16,1.78,-1.05,-2.67,-2.22,2.56,2.18,1.55,4.31,1.54,2.1,-1.84,0.45,-4.62,-1.32,0.18,1.78,3.38,2.62,-1.3,0.77,-0.78,1.22,-2.74,1.82,0.2,-1.93,0.19,1.59,2.97,-0.08,-0.23,-1.14,2.21,-0.46,-2.49,3.03,1.4,-1.07,2.4,5.18,3.98,0.02,-0.55,-3.45
10,3.81,3.71,-0.05,7.12,4.21,3.45,5.5,1.08,3.35,3.97,3.86,4.57,-1.31,-2.98,2.14,3.39,4.61,4.58,1.82,-0.02,1.86,-6.03,-0.35,-4.61,-0.37,0.29,3.57,-3.7,1.8,-5.96,-1.43,3.76,0.65,1.66,2.87,-1.26,1.41,-5.23,0.63,-0.78,1.93,-0.93,-0.22,-1.87,5.31,0.08,1.74,-0.2,1.27,-1.56,1.49,-2.72,-3.43,-0.22,-1.12,-0.55,-4.36,-1.18,-1.49,3.54,1.67,-1.3,0.87,1.3,-1.22,-4.44,0.68,0.05,0.08,-3.6,2.43,3.18,-1.53,-0.53,3.84,0.04,-2.7,3.31,0.72,1.53,-2.14,1.01,-3.61,-5.93,4.75,2.62,-2.75,-1.04,0.24,2.45,2.3,5.89,5.09,5.01,1.84,0.87
11,-0.77,-0.16,1.08,4.94,3.81,5.71,1.76,-1.61,1.02,-0.45,1.17,2.8,0.7,1.15,2.84,-0.7,3.16,2.84,-1.02,-1.35,-0.8,1.33,0.43,0.54,-1.76,-2.5,2.28,1.37,0.09,1,-5.41,-0.77,0.18,2.35,-0.94,0.91,0.03,0.05,2.65,-0.38,-1.51,1.02,4.25,4.19,2.61,4.3,0.26,1.93,2.26,2.06,4.15,4.51,3.3,-0.73,3.7,3.65,2.5,1.52,6.79,1.57,2.43,0.23,-1.22,-1.31,3.35,1.37,1.48,0.88,-1.82,0.72,-0.46,-3.65,4.24,-2.49,3.15,-3.51,-4.6,-1.81,0.4,-2.68,-1.01,0.75,-0.34,1.39,0.76,0.44,-1.59,-1.31,1.56,0.53,2.44,2.73,3.2,3.27,1.99,0.85
12,0.12,-3.7,2.82,2.78,0.69,3.29,3.37,3.72,4.03,2.23,-0.1,-2.37,-1.15,-2.25,1.81,3.69,-1.71,0.65,-1.08,1.97,-0.83,-0.84,-2.49,0.92,6.61,0.17,-1.53,-4.1,-2.61,2.18,-1.87,-0.98,-2.41,-0.49,4.35,6.16,1.62,-1.48,-3.54,2.68,-1.06,-1.9,2.77,0.84,-2.1,5.61,6.3,4.99,2.13,1.38,3.06,3.43,0.88,2.11,1.3,2.48,5.94,1.54,0.45,-1.84,0.91,-1.17,0.39,-1.32,-0.39,0.91,-0.22,-2.26,-1.33,3.01,-1.19,-0.09,0,1.52,-4.22,-1.01,1.21,2.38,-0.01,5.09,5.03,4.23,-4.79,-0.91,-0.76,-2.51,2.94,1.89,0.87,-1.94,4.5,3.55,3.98,3.67,6.05,0.03
13,0.71,2.67,5.7,2.03,2.65,3.16,-1.88,0.32,2.78,-6.74,-4.14,-1.54,-1.81,1.81,-2.45,-3.91,2.03,1.39,2.76,0.59,3.11,0.27,3.45,1.89,-6.54,-1.08,0.93,2.81,4.74,5.06,0.46,4.79,3.7,-3.75,1.12,3.19,1.35,2.69,1.68,-0.12,1.64,-2.78,-4.39,0.34,-1.1,-5.56,-3.11,-3.23,0.99,-0.73,-4.7,-2.91,-1.12,-1.43,-4.02,-3.46,-3.51,-2.82,-3.95,-5.86,1.26,1.75,-0.72,1.03,0.54,2.09,0.88,1.55,4.77,1.39,-2.09,-0.44,4.07,0.28,-3.52,1.91,0.29,-3.57,0.08,1.55,0.97,1.96,4.14,3.27,1.45,0.74,-1.78,0.16,-2.66,-1.72,4.33,0.49,0.9,-1.15,2.47,4.19
14,2.52,-1.51,-1.69,-2.29,2.8,2.52,0.91,-0.19,1.18,-3.44,-1.91,-0.66,3.14,0.56,0.14,-1.96,-0.7,-2.45,-0.58,0.03,1.25,-1.51,-0.88,-6.45,-0.67,-0.42,0.11,-1.64,0.65,-0.38,-2.66,-1.37,1.04,-0.38,0.14,-2.9,-4.35,0.86,-0.5,2.81,1.28,2.82,-3.8,-0.52,2.7,1.54,-2.29,-0.01,-1.66,1.01,2.43,-3.42,1.82,-0.45,3.5,4.55,3.02,3.82,1.59,5.07,-1.02,-0.1,2.25,2.01,1.69,2.94,-3.55,-3.16,1.3,1.85,-1.35,0.09,-0.67,1.08,-1.73,-2.16,-0.12,-3.57,-0.4,-3.22,0.89,-2.97,-5.16,3.58,-0.23,-3.22,-4.09,-0.95,2.54,3.51,1.94,3.31,3.47,4.09,-1.27,2.64
15,0.87,2.43,0.41,-1.66,1.7,1.44,-4.06,-3.22,-5.51,-5.4,1.43,0.81,2.21,0.39,0.87,0.15,-0.47,1.35,-0.37,3.55,0.55,4.31,5.51,3.31,2.95,-2.12,-0.69,-0.85,-1.7,5.02,6.15,2.71,6.95,3.69,-0.9,-0.01,-3.18,2.96,-5.23,-0.51,1.28,1.28,2.97,6.04,5.19,0.24,-1.64,0.66,-2.39,3.3,-1.69,0.9,3.04,4.55,2.66,0.95,2.34,0.49,1.81,0.58,0.54,-1.23,2.02,0.3,3.63,1.46,2.49,2.22,0.22,1.45,0.2,1.05,-2.62,-1.15,4.54,-2.01,3.8,1.9,2.43,4.3,-1.82,-2.18,-2.79,1.81,1.04,2.99,4.06,6.73,2.53,1.49,0.59,0.61,-3.11,-0.71,0.92,-2.03
16,0.55,4.42,2.56,-0.01,-1.12,1.77,-0.88,-1.34,0.47,2.47,1.19,-1.37,1.39,2.35,1.06,-0.16,0.94,0.11,5.09,1.46,3.31,3.11,0.7,6.32,4.15,1.25,2.33,5.48,5.52,8.03,5.22,3.25,10.47,6.14,5.58,3.71,5.19,3.41,4.17,3.82,8.7,7.95,6.74,7.77,12.4,10.1,5.91,5.69,-3.38,7.12,2.27,2.55,3.61,6.18,5.13,2.18,4.91,8.52,4.88,4.53,-0.26,5.09,3.68,5.99,1.74,6.8,4.82,7.4,8.04,6.37,6.18,10.35,0.82,4.5,5.18,7.31,2.5,5.93,1.92,3.22,4.16,7.62,5.9,8.78,5.73,5.72,6.17,10.25,4.14,5.83,0.48,-4.24,-1.57,-4.06,2.39,-6.9
17,1.87,0.19,5.02,3.03,1,3.47,2.58,3.85,1.51,0.66,-0.7,-2.66,1.03,2.01,1.81,3.87,1.09,-0.34,5.26,6.87,12.84,7.04,14.35,7.77,10.85,7,4.33,6.37,8.27,16.23,10.01,15.1,19.36,13.51,14.4,15.97,3.53,9.44,6.31,4.43,15.97,17.7,14.29,16.27,17.05,11.99,17.01,14.98,-1.18,11.89,6.4,8.95,15.25,16.27,16.97,17.16,16.55,18.32,20.93,6,4.38,4.33,6.24,12.66,13.06,18.85,11.63,13.84,13.48,13.53,8.99,16.88,2.93,-1.57,8.51,8.29,9.06,7.77,4.16,15.53,14.08,13.8,8.15,14,16.51,9.37,13.61,20.19,8.32,15.43,0.55,4.84,-0.3,0.04,5.34,-0.78
18,-2.77,3.09,4.73,2.88,-0.91,4.82,8.45,4.47,1.5,8.15,-0.2,2.96,9.72,8.81,2.82,12.23,2.53,4.75,22.13,21.73,22.63,18.46,22.57,23.29,16.67,9.65,17.15,15.68,25.64,31.37,26.59,28.27,35.48,34.43,32.08,42.54,11.46,20.87,12,16.05,31.25,31.88,26.78,28.95,35.14,37.67,30.58,30.63,12.93,18.09,16.21,13.44,35.3,34.52,34.96,27.59,36.29,35.55,38.14,28.78,7.54,15.13,13.07,21.01,32.15,35.32,28.24,25.64,26.32,26.63,35.42,30.82,15.92,14.26,16.91,20.48,26.11,27.79,25.77,31.95,24.09,27.35,16.57,26.7,30.53,31.13,42.45,39.19,35.74,34.73,2.64,6.17,5.15,-0.38,-4.38,-3.66
19,-2.54,1.63,1.23,0.6,3.2,3.51,11.18,10.84,7.79,12.54,13.6,15.47,20.89,20.43,22.14,18.14,17.36,22.25,43.66,41.77,50.66,46.12,48.02,44.23,32.96,27.35,35.67,35.22,59.48,60.05,58.29,64.23,71.93,72.61,70.26,73.23,32.27,37.89,32.28,29.5,55.11,63.93,54.52,64.19,67.65,69.48,69.48,66.35,28.94,36.16,31.79,38.28,68.58,70.51,70.36,65.06,69.24,75.18,77.18,64.47,25.19,30.99,26.84,34.94,53.85,69.33,59.73,60.86,53.91,55,62.12,65.49,30.98,33.57,41.09,35.45,55.02,52.22,49.23,67.99,49.19,53.03,46.09,50.88,67,73.27,80.08,83.28,67.37,79.08,3.26,3.16,2.36,0.55,-0.32,1.43
20,2.96,-1.27,2.87,-2.37,1.17,-1.5,24.26,23.29,11.95,21.08,17.71,20.44,38.83,37.52,37.56,41.54,42.59,45.27,89.45,89.29,90.32,93.47,91.92,83.82,65.14,67.1,70.93,74.03,113.73,116.35,119.93,120.98,140.83,145.48,138.94,142.69,65.38,78.63,65.07,68.82,113.64,114.55,111.93,116.85,133.72,129.21,128.62,117.94,60.06,67.35,68.28,65.55,127.5,133.25,132.68,124.9,137.33,145.32,144.56,128.86,62.17,68.75,64.22,66.49,108.35,127.24,116.23,120.85,116.9,121.05,125.66,125.3,68.6,69.67,76.96,77.38,108.04,105.97,105.59,124.72,99.53,105.77,100.69,100.78,132.4,140.29,148.06,154.55,138,154.96,0.67,-6.29,-0.19,-4.75,-12.72,-0.41
21,3.08,2.84,-2.85,-0.35,-1.74,-2.95,40.16,37.07,32.85,39.46,38,36.46,67.91,69.43,71.8,71.46,71.35,73.54,160.64,152.84,161.37,173.58,164.37,155.97,123.94,121.6,127.51,125.3,220.42,221.71,225.43,226.14,259.79,264.83,261.03,264.7,112.08,126.79,119.82,124.27,196.64,216.18,205.67,218.02,252.15,252.71,256.11,237.44,111.81,122.78,117.29,119.4,237.96,242.19,243.12,236.17,264.22,278.09,275.29,254.66,103.79,114.07,120.74,124.39,189.06,232.06,223.9,229.71,215.75,218.55,239.85,245.69,130.83,135.12,151.05,144.2,198.55,198.02,196.14,230.1,189.41,188.55,188.94,181.67,254.37,275.47,290.77,292.94,274.2,297.92,-2.19,0.2,2.47,-0.79,-3.76,-5.26
22,-0.84,1.31,-5.23,-4.7,4.46,3.49,58.72,59.22,45.95,56.06,56.23,56.35,116.11,115.8,113.25,119.25,115.27,117.5,259.67,250.49,260.9,274.32,260.66,250.9,190.89,192.6,198.4,198.92,334.82,333.4,340.5,337.34,392.97,402.16,399.12,398.01,178.7,194.43,185.67,190.43,309.02,321.09,321.62,324.01,387.77,390.72,393.69,368.74,183.51,196.47,190.07,195.09,354.02,357.24,358.69,350.92,403.05,425.82,420.02,390.7,171.69,185.48,189.53,196.19,301.27,341,337.73,344.28,360.93,368.78,370.11,379.27,227.4,235.64,257.95,249.36,342.08,335.91,331.45,350.07,335.04,333.36,341.72,328.12,385.26,423.38,447.16,447.46,421.72,448.76,-1.57,-2.26,2.82,7.12,4.7,6.59
23,-2.73,2.98,2.12,1.35,3,4.31,76.27,77.71,55.18,69.07,65.19,74.68,161.42,161.2,162.18,167.63,161.4,166.69,349.15,337.45,349.22,367.07,346.58,334.71,254.12,255.28,261.68,264.91,441.5,441.78,452.33,442.86,525.53,542.44,536.38,528.92,238.65,253.81,244.68,252.29,406.97,419.38,422.36,424.87,528.49,530.27,528.94,501.59,247.08,263.13,257.39,264.57,463.42,464.32,469.36,457.38,542.61,578.6,564.45,525.92,232.98,253.68,258.58,261.06,398.3,442.48,444.34,449.51,497.95,512.71,505.92,516.79,335.59,348.5,377.28,369.85,482.9,470.98,469.13,477.46,490.88,484.89,502.56,478.59,516.14,570.1,599.98,597.99,566.44,592.37,-4.58,-4.95,-2.53,6.44,10.82,8.65
24,-0.68,0.11,-5.97,-1.77,2.34,-0.07,83.52,81.64,64.35,75.43,74.62,78.47,200,201.25,203.41,208.24,200.5,207.95,416.84,403.02,414.75,440.69,414.91,400.81,307.56,306.8,313.35,318.63,524.18,526.15,537.69,522.65,635.75,658.59,648.03,632.58,287.92,299.84,292.76,301.86,480.23,492.38,494.76,501.19,645.14,645.91,639.77,609.6,302.44,318.3,312.59,322.34,543.32,543.19,547.75,536.97,656.07,704.59,684.7,637.74,287.02,317.36,320.82,320.43,474.42,520.63,528.28,530.94,619.55,643.21,622.51,637.62,458.5,475.06,511.87,505.62,608.1,592.76,595.14,592.19,647.62,631.87,663.5,620.95,617.97,685.37,721.78,718.56,682.19,702.83,-4.92,-4.87,-2.44,21.56,19.4,19.92
25,0.71,-1.38,-2.09,1.58,1.56,2.38,86.41,83.4,66.93,79.29,79.81,82.19,230.77,232.03,233.98,236.91,228.73,237.44,458.84,444.73,453.25,483.38,457.3,441.04,345.07,342.23,351.18,355.35,573.59,579.53,589.25,571.96,706.97,734.92,720.94,699.06,321.48,332.58,325.08,334.67,522.45,537.3,541.29,548.58,726.8,728.09,717.35,686.08,337.14,355.88,352.29,363.52,590.7,590.06,596.49,586.88,733.06,792.31,764.65,713.24,338.51,371.75,375.12,372.52,523.75,574.76,584.37,585.59,706.07,736.65,706.88,725.86,584.39,600.94,646.57,642.73,711.3,693.27,697.25,683.94,771.07,745.42,787.2,733.02,686.97,761.36,801.31,797.5,758.92,775.82,-2.02,-4.76,-4.19,39.73,38.65,44.19
26,-5.12,-0.05,3.06,3.23,-1.04,5.38,87.21,84.27,68.23,81.23,77.51,84.07,249.12,252.03,253.22,255.05,245.8,258.91,481.39,467.55,473.26,503.02,480.09,460.93,368.07,366.34,376.45,380.22,601.96,607.04,618.29,598.09,751.26,783.59,767.09,739.14,342.72,353.09,346.45,353.99,544.25,559.13,564.9,572.43,778.73,781.11,762.93,732.51,362.35,380.94,377.88,390.55,616.23,613.19,621.55,611.95,781.08,844.71,812.64,756.81,391.16,428.47,428.25,428.75,561.37,613.78,624.25,625.22,768.05,800.92,762.37,785.97,698.94,716.91,770.24,766.34,789.14,768.51,774.74,756.1,856.16,825.3,874.99,810.64,726.87,809.69,849.04,847.73,806.31,819.06,-2.13,1.95,-1.98,84.6,86.33,84.09
27,-0.94,-0.08,0.24,-0.86,-1.82,-0.17,87.08,84.3,67.44,82.14,78.22,84.48,261.12,260.53,261.56,265.13,254.75,270.16,494.24,477.62,483.7,509.85,489.54,471.39,381.17,381.66,389.44,395.71,614.91,621.54,632.13,611.06,775.68,808.67,793.7,761.83,353.92,364.18,357.92,367.28,555.3,569.93,577.24,582.58,808.09,811.81,790.79,764.07,376.39,397.08,394.14,404.8,629.54,624.85,635.79,626.96,808.22,876.91,841.12,782.18,453.33,492.59,492.98,493.24,590.46,646.83,658.04,662.01,808.54,840.65,801.21,824.96,788.5,809.59,868.86,865.4,849.82,826.42,836.03,807.53,907.68,874.02,924.4,857.99,752.38,837.3,877.63,878.26,835.15,845.7,4.8,3.8,-0.8,172.8,180.08,173.16
28,-1.53,0.25,-0.06,1.16,-5.83,-0.81,87.63,85.97,66.99,81.33,77.79,82.98,265.47,265.8,264.52,270.35,259.22,277.73,498.86,481.85,488.69,512.68,492.94,472.91,387.48,389.04,395.36,402.34,619.11,627.66,639.59,616.9,788.74,822.91,805.83,775.26,359.8,367.45,363.18,372.34,561.78,575.32,580.05,588.15,827.67,826.99,804.16,780.64,387.49,409.57,402.63,413.17,637.3,630.53,642.48,631.75,821.32,893.34,857.23,796.26,524.64,572.28,571.74,569.5,622.74,679.27,694.33,698.87,839.39,871.77,828.47,854.58,848.44,877.21,938.91,935.07,895.19,868.9,880.45,848.03,939.68,905.67,956.35,886.58,767.64,854.52,895.19,896.65,853.04,862.41,5.77,6.21,5.56,319.72,326.8,314.76
29,-0.3,-3.62,-1.14,1.14,1.58,-1.75,87.54,86.61,66.21,81.54,79.31,83.04,268.03,268.01,264.68,272.09,260.74,276.14,500.03,481.74,490.21,513.59,493.62,475.02,391.44,393.05,399.56,404.15,621.38,630.53,640.24,618.47,795.18,828.23,811.67,781.11,363.18,369.59,365.79,375.07,564.71,579.82,580.92,590.22,841.58,838.6,818.12,794.92,399.82,418.74,409.22,422.09,642.36,636.83,646.72,637.15,829.33,902.33,865.87,804.39,603.35,660.89,658.89,654.09,656.46,718.37,733.86,739.72,861.5,895.69,849.73,876.27,885.28,918.7,982.91,976.63,929.89,900.87,912.83,877.52,958.42,923.22,973.57,902.92,777.98,863.46,907.4,906.9,862.9,874.44,8.87,9.82,8.25,472.29,478.91,463.25
30,-3.09,-3.43,-2.59,0,-6.82,-2.93,86.7,84.56,64.16,80.13,78.9,84.06,269.88,270.67,266.36,272.99,261.84,276.79,499.21,482.23,487.51,514.89,494.38,473.44,392.43,393.05,400.78,403.54,619.9,631.2,640.4,618.94,797.46,831.47,812.33,785,364.14,372.29,365.01,374.79,564.84,581.56,580.25,593.5,856.61,852.01,830.21,804.44,414.94,427.75,418.59,434.05,644.19,641.93,651.22,641.3,834.5,908.36,871.66,809.73,676.53,744.18,742,733.63,693.36,758.22,772.96,779.68,875.98,911.12,866.52,892.18,907.3,942.75,1008.41,1000.15,954.06,922.29,936.52,900.34,966.65,931.67,983.19,912.01,783.41,870.72,914.78,915.24,868.51,881.34,25.94,30.67,25.57,612.97,617.3,597.57
31,-1.74,-5.48,-2.24,-0.35,0.23,-0.11,87.46,84.18,62.77,80.79,80.24,84.56,270.68,271.54,267.77,273.79,261.86,275.58,501.34,481.23,486.91,513.53,496.27,474.71,393.29,394.1,400.7,403.7,621.35,633.5,639.54,619,799.71,833.19,815.73,787.62,364.54,374.36,366.65,376.75,564.49,583.8,581.01,594.49,871.37,870.42,846.98,820.45,437.66,445.95,435.99,455.86,649.51,648.7,660.27,649.73,842.64,916.83,878.47,816.11,735.27,810.13,808.27,798.92,728.02,796.6,811.43,817.21,882.76,919.29,875.87,901.18,920.74,953.93,1021.86,1013.18,970.57,937.97,953.56,917.06,969.88,936.41,989.35,918.05,788.39,875.3,919.51,920.39,871.48,885.74,54.06,61.71,55.67,717.82,722.16,703.34
