Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
42,1.87,-0.57,-0.96,-1.06,4.37,-0.77,79.92,169.06,52.05,71.76,68.37,77.88,273.99,273.71,643.82,275.99,267.01,284.57,500.73,483.44,484.94,520.46,500.07,472.63,391.54,837.76,400.34,403.94,619.46,640.61,805.35,622.56,811.02,839.42,891.01,797.64,824.72,714.85,786.31,797.85,644.34,733.74,661.68,748.6,928.09,926.92,898.16,867.58,929.08,967.72,961.6,970.16,932.88,941.74,956.86,938.21,920.53,1006.06,965.37,890.13,819.33,903.78,905.85,895.87,815.78,897.89,915.03,913.21,890.88,933.31,880.95,912.77,929.81,970.34,1040.96,1028.28,995.09,962.35,974.56,946.41,981.82,951.06,1003.6,934.2,801.07,876.55,917.43,930.36,871.49,888.52,788.88,882.1,800.27,899.09,903.63,883.2
43,0.89,0.06,1.08,1.31,-1.82,-2.99,79.62,176.91,51.71,70.51,66.14,77.69,277.73,276.93,703.85,276.87,269.24,285.63,500.3,482.84,484.49,520.35,498.31,474.03,387.86,885.76,403.26,403.86,616.13,639.01,834.41,621.63,811.13,839.42,900.73,798.67,844.6,781.21,830.6,841.19,663.84,773.11,686.62,790.82,928.59,926.91,894.73,867.13,929.62,971.28,964.26,973.73,935.42,945.55,959.32,940.67,919.23,1005.82,964.08,890.79,819.76,903.54,904.02,896.93,816.9,898.49,915.54,915,891.25,933.09,882.61,912.27,928.28,970.86,1040.33,1027.73,996.05,963.36,976.27,947.24,983.37,953.79,1005.11,934.68,803.04,876.57,916.67,930.68,869.22,889.62,794.23,885.91,805.96,897.54,900.96,882.42
44,0.02,-2.73,0.53,1.59,3.55,5.34,82.03,185.86,50.68,68.51,67.38,78.6,280.73,277.69,739.49,277.5,275.75,284.96,498.13,483.6,483.57,519.95,497.64,470.49,387.25,913.12,403.01,402.01,614.46,638.6,854.29,620.39,811.59,838.61,904.52,801.14,852.43,827.21,856.66,866.52,675.59,806.94,702.35,826.88,927.88,927.79,896.46,866.55,928.05,973.14,964.94,976.5,936.73,948.51,964.12,943.64,919.23,1006.11,966.63,891.53,819.83,903.41,903.66,897.11,814.3,899.94,913.59,914.98,893.44,931.35,881.46,911.09,928.5,967.6,1041.57,1027.24,996.28,964.61,976.38,948.36,985.04,955.24,1003.72,935.16,802.79,876.4,914.94,931.66,870.52,891.84,799.63,893.1,811.36,898.84,901.82,886.02
45,7.28,1.68,4.32,-1.17,2.18,3.57,82.33,194.66,50.89,69.99,65.43,77.09,281.5,274.81,755.61,277.67,284.02,283.56,497.26,483.89,481.3,520.39,497.34,468.94,385.74,928.4,402.29,402.21,613.03,640.39,863.53,619.61,812.56,840.53,905.87,800.79,858.01,854.53,868.53,878.84,683.03,830.3,712.61,851.67,926.39,931.6,897.03,864.54,928.96,975.37,965.71,981.22,937.44,950.54,964.94,945.52,919.03,1006.21,967.81,889.74,819.6,901.47,903.37,896.67,815.08,901.4,912.2,913.67,892.55,930.27,882.92,913.14,929.99,966.26,1039.94,1028.04,995.89,964.27,975.97,949.7,986.34,952.08,1003,934.52,799.89,873.08,915.33,932.66,869.1,888.96,803.13,898.06,814.63,900.74,902.74,886.69
46,7.7,4.87,0.85,2.75,4.49,0.32,81.43,201.64,48.39,69.4,64.6,76.18,281.05,272.81,763.89,277.14,294.86,283.06,497.42,486.08,481.43,519.69,497.62,467.46,387.8,934.97,401.1,402.16,613.64,640.3,870.27,621.65,814.4,843.75,904.84,802.11,859.89,869.35,873,884.39,687.11,849.46,717.34,867.01,926.38,931.12,895.58,861.62,929.47,975.12,964.86,979.61,938.94,953.13,964.76,945.4,919.77,1007.3,968.31,887.1,815.94,902.14,902.24,896.55,813.09,900.66,912.35,910.76,890.44,929.15,882.06,912.77,931.08,965.32,1040.85,1028.35,994.59,963.41,973.29,948.08,985.18,949.12,1001.11,934.9,797.73,872.42,914.8,932.48,868.71,887.95,807.54,904.44,817.91,905.11,903.46,890.2
47,0.92,1.48,1.11,2.92,4.59,-0.68,79.75,206.02,48.16,68.14,63.34,73.78,280.34,271.73,768.03,278.65,306.15,283.79,497.72,487.65,480.66,521.4,497.3,470.68,387.13,938.22,401.55,401.96,614.79,640.83,872.26,623.33,817.08,848.19,904.7,803.37,861.82,876.32,873.19,888.59,689.19,859.2,720.73,874.77,927.09,929.58,893.55,859.34,931.17,975.16,965.6,978.16,937.75,951.49,964.53,946.35,917.64,1006.27,964.39,882.12,814.94,901.73,902.86,895.51,812.64,899.25,912.87,909.29,889.8,928.28,882.45,912.62,931.81,966.5,1040.32,1028.84,994.98,963.6,972.52,948.69,985.31,948.75,1003.72,937.71,797.17,873.01,914.52,930.41,866.03,885.36,812.74,906.79,816.92,906.31,901.79,887.54
48,3.1,8.46,5.27,-0.6,0.62,5.97,77.81,210.88,47.12,65.69,60.99,73.87,281.21,275.1,773.26,276.32,318.5,285.99,498.1,489.83,480.06,520.8,498.38,467.92,387.78,937.96,400.68,399.75,613.54,638.36,874.6,623.87,818.83,848.62,904.74,808.96,859.99,879.39,874.45,890.14,690.59,865.31,722.46,880.34,928.07,929.11,892.21,859.17,930.03,975.85,964.46,979.53,937.14,950.02,962.06,945.11,916.42,1003.97,963.15,879.24,815.64,903.55,903.72,895,811.23,898.1,912.5,910.98,890.79,927.21,881.18,911.56,933.05,967.56,1041.58,1027.27,996.05,965.58,974.12,948.4,985.38,950.48,1004.59,939.89,797.83,873.79,912.74,928.21,864.36,884.28,814.91,907.29,820.06,906.14,902.76,887.1
49,5.15,-0.17,2.48,7.48,5.2,5.03,78,215.85,45.74,64.89,59.1,69.76,281.9,274.22,776.06,276.72,329.62,287.14,496.69,491.04,479.54,521.05,501.18,468.41,387.42,939.73,399.41,401.44,612.14,638.5,874.99,622.74,821.84,846.96,906.05,812.35,859.48,880.71,874.58,889.6,691.32,866.31,722.96,884,927.79,929.38,894.57,860.89,930.83,976.24,963.52,982.37,936.2,949.83,961.83,946.39,914.89,1002.95,962.14,881.28,815.17,901.99,903.86,894.24,812.07,898.17,910.96,909.87,889.27,925.15,878.01,912.51,933.51,967.41,1043.85,1027.53,995.75,965.66,976.38,947.85,986.29,951.29,1003.86,939.93,797.35,872.36,911.95,926.58,862.26,884.17,816.9,909.7,820.6,905.2,900.74,885.18
50,3.41,3.59,2.46,0.85,1.96,0.77,76.49,221.36,45.16,65.01,57.74,69.02,282.06,273.87,775.52,275.62,339.98,287.8,496.48,493.75,477.51,519.59,501.26,464.98,388.23,941.56,398.19,401.42,609.67,637.43,877.17,620.6,822.26,846.7,903.57,813.44,859.5,880.68,875.64,887.89,692.85,869.03,725.14,887.37,928.5,931.05,892.07,862.03,929.26,976.23,963.09,981.83,937.73,949.65,960.4,943.28,914.99,1001.3,962.15,882.03,814.48,902.41,904.81,894.23,812.86,898.63,910.3,909.4,887.39,925.35,878,912.99,930.7,965.13,1042.22,1025.79,993.93,962.88,976.34,947.53,985.63,951,999.11,939.33,798.18,870.07,911.41,926,862.51,882.57,818.5,911.37,822.81,904.03,898.55,885.05
51,4.63,1.04,0.22,2.17,1.51,1.67,75.37,226.03,44.51,65.08,56.32,67.66,282.09,272.63,775.34,277.02,351.52,286.42,496.37,493.72,477.73,518.56,499.66,464.82,386.34,943.15,396.71,400.27,606.73,637.31,876.5,620.9,822.58,847.15,904.52,813.99,858.89,880.37,875.25,887.24,692.72,869.7,723.86,887.41,925.78,928.44,891.19,862.08,925.8,974.63,964.08,980.49,937.26,950.27,960.9,943.85,913.6,1002.5,960.38,881.84,810.6,902.36,903.17,894.86,812.08,901.02,908.41,906.37,885.68,924.67,876.44,911.1,927.39,964.1,1043.23,1025.49,992.89,960.56,975.25,946.31,984.73,949.7,998.07,936.79,797.64,868.22,911.25,926.16,860.59,883.51,819.76,913.42,823.77,903.06,894.9,884.95
52,1.76,7.92,6.25,4.63,2.66,3.48,73.56,229.86,43.98,65.54,55.01,68.78,279.53,271.76,774.18,275.04,362.47,283.96,497.77,492.4,478.53,516.67,496.14,462.64,384.34,942.62,397.06,397.81,606.01,638.34,875.83,621.04,819.45,845.94,901.56,811.67,860.15,883.97,875.91,887.87,691.6,871.78,724.74,888.97,925.23,928.04,886.92,860.36,923.55,976.3,963.65,979.48,935.73,947.79,959.71,940.64,912.96,999.91,958.84,878.37,810.37,902.48,903.52,893.42,809.62,901,907.91,907.31,889,923.28,877.76,910.75,925.08,963.64,1041.16,1023.94,992.39,959.6,972.79,945.11,984.54,950.2,999.47,940.35,798.26,866.54,910.82,926.75,860.4,881.92,819.84,911.75,823.19,901.13,897.2,886.44
53,3.21,2.7,2.39,3.96,2.85,-0.81,74.83,234.12,42.88,67.39,52.12,69.95,280.43,270.16,776.14,274.18,375.55,283.68,496.36,491.91,478.31,514.26,493.25,460.23,382.47,942.89,396.38,397.08,605.91,638.37,874.95,620.79,817.07,844.29,901.17,811.66,860.13,885.54,876.43,888.73,691.92,871.91,723.35,887.12,923.01,928.99,886.44,858.79,922.35,976.39,962.72,979.17,934.27,946.95,960.05,941.61,911.51,1000.86,960.02,877.18,808.08,899.74,902.11,891.95,809.63,901.55,904.49,906.68,889.57,924.67,878.57,911.11,925.89,965.34,1039.93,1023.47,992.89,960.68,971.96,943.9,986.55,951.02,1001.53,940.54,796.68,866.66,909.73,927.01,857.91,881.55,819.5,912.27,822.67,901.9,896.8,885.05
54,0.33,7.19,-0.48,3.33,-0.27,3.66,75.05,237.09,40.89,66.2,52.89,71.25,278.19,266.09,774.77,271.32,385.15,282.88,493.06,488.99,476.35,514.11,492.99,458.67,382.81,942.51,397.01,397.79,607.72,638.22,874.6,619.07,815.48,844.76,898.02,808.84,859.97,886.14,876.58,887.18,691.17,870.96,722.35,886.8,922.96,927.86,883.57,857.69,921.95,977.56,961.28,978.03,932.54,946.15,959.54,939.1,909.69,999.53,958.6,876.01,806.37,896.41,902.58,890.85,808.92,900.18,903.49,906.34,890.45,925.21,877.35,911.43,924.34,965.3,1039.03,1023.2,991.51,961.32,970.05,944.5,987.03,953.17,1001.8,944.48,796.25,865.16,909.43,926.59,858.25,878.9,817.09,913.34,822.23,902.47,897.94,882.43
55,-4.9,2.8,-2.72,1.06,2.32,2.6,74.4,239.72,40.24,64.28,53.03,71.44,278.88,265.41,774.12,272.21,393.6,283.41,491.37,487.81,472.05,513.47,494.26,457.53,382.91,941.2,395.78,396.14,607.19,636.97,875.79,616.75,816.22,841.71,895.64,809.28,858.84,884.82,875.15,886.12,691.15,869.59,720.23,883.41,920.18,929,885.28,856,921.23,975.87,960.26,978.68,931.52,945.54,958.62,938.76,908.05,1000.89,959.9,874.01,804.69,894.7,902.54,890.86,808.42,900.49,903.45,904.83,887.7,926.18,876.05,909.79,922.59,962.17,1038.75,1022.72,989.74,959.35,969.01,945.35,986.23,953.01,999.2,942.4,794.42,865.46,905.25,927.94,857.95,877.93,818,915.04,822.35,902.01,895.35,882.14
56,1.71,-1.06,1.99,0.63,-1.12,1.77,73.56,243.33,37.96,61.16,51.22,67.93,276.11,265.04,771.65,270.97,399.81,283.42,489.3,485.08,471.06,515.33,494.61,460.39,382.55,941.5,395.93,395.14,607.5,637.88,876.11,616.27,819,841.28,894.85,810.73,858.21,888.61,873.15,885.6,690.72,867.81,719.07,883.33,918.75,927.91,883.06,853.35,921.19,976.4,957.13,978.96,931.37,945.64,957.01,936.98,907.94,999.95,959.96,872.76,804.16,895.57,901.46,892.89,805.86,898.72,902.99,903.57,886.35,923.72,874.42,908.67,921.67,960.78,1039.91,1022.35,988.2,958.14,967.88,946.22,984.34,953.08,998.1,941.43,793.51,863.39,904.86,926.34,858.45,877.18,818.28,914.12,823.95,900.49,893.42,881.97
57,1.59,-1.12,-1.91,2.42,-0.52,2,73.45,247.11,35.47,61.1,48.47,65.92,277.55,265.34,771.87,272.67,405.31,282.47,489.96,486.66,470.7,513.67,493.28,460.48,380.64,940.32,394.23,393.42,604.85,637,876.29,615.35,820.83,840.05,894.28,811.03,857.12,892.14,871.28,884.84,690.14,869.5,717.95,882.72,918.93,928.83,881.89,851.04,921.02,976.76,958.26,977.23,932.54,944.05,955.77,938.06,906,998.33,959.73,869.24,804.43,896.24,899.21,892.52,804.13,897.01,903.05,902.61,884.3,920.61,872.69,907.91,921.78,960.13,1037.93,1019.8,985.5,956.25,968,945.48,983.22,949.65,996.16,939.81,790.27,861.89,902.62,926.53,855.11,875.71,820.58,915.47,824.28,901.38,893.43,884.58
58,1.24,-4.78,1.45,-0.4,-1.95,1.48,73.64,250.34,34.27,62.53,48.03,66.76,278.07,264.92,775.39,270.6,408.25,282.32,487.61,486.21,470.16,512.65,492.17,460.69,379.97,941.89,394.25,393.26,603.36,638.28,876.43,614.8,820.29,841.23,892.79,811.43,854.8,896.19,871.04,884.93,689.62,871.11,718.25,885.82,919.46,927.63,879.23,850.31,920.32,977.95,958.57,975.57,932.44,943.87,955.02,937.21,904.1,997.24,958.8,867.48,805.23,896.62,897.08,892.8,803.65,895.19,901.83,901.89,884.02,918.34,871.98,907.5,920.97,961.49,1037.91,1019.61,985.14,956.81,967.6,946.26,983.58,949.45,998.61,941.83,789.97,862.08,905.1,924.19,854.95,874.91,819.76,916.06,824.43,900.86,892.52,883.99
59,-0.3,1.55,-0.99,0.9,-2.85,-3.37,71.97,252.47,34.22,63.91,49.88,68.57,279.91,264.97,776.22,270.65,409.68,281.97,486.66,485.83,470.33,509.52,492.42,458.31,378.53,940.87,393.33,391.54,601.01,639.41,876.62,613.74,819.43,841.19,891.64,810.59,853.2,897.05,871.78,884.95,688.42,872.12,717.77,885.21,918.79,926.71,877.16,851.19,919.53,979.92,960.72,977.35,930.97,944.25,954.88,938.37,903.58,997.57,958.24,866.45,804.59,894.81,897.3,891.81,802.42,896.66,901.3,900.41,881.83,916.15,871.66,906.54,919.5,962.77,1037.81,1021.34,982.09,955.99,967.02,946.1,985.04,950.03,1001.26,944.53,788.58,862.64,903.93,926.02,855.67,874.64,821.64,918.81,823.41,900.48,895.07,886.67
60,-1.4,0.84,0.44,1.63,-0.81,2.32,71.34,255.38,35.52,64.05,51.97,68.91,279.61,266.04,773.5,271.8,410.54,284.02,484.91,484.04,471.63,509.03,493.16,456.73,376.56,940.89,393.59,389.25,601.04,642.69,876.42,614.06,820.67,843.13,891.42,812.13,852.94,898.84,874.29,887.73,688.45,870.76,717.82,883.25,916.77,926.37,874.6,853.64,919.67,983.34,960.43,984.01,930.53,946.3,954.59,941.49,907.79,1001.19,961.01,869.43,802.88,892.53,900.08,891.82,802.16,901.09,897.92,897.78,877.73,916.32,875.3,906.84,918.84,962.95,1039.36,1026.27,978.41,955.74,966.07,945.18,988.23,954.75,1005.22,946.97,787.93,863.12,901.8,928.09,860.05,876.51,826.45,919.83,822.62,899.44,897.57,890.27
